pregunta,oracion,texto_combinado,label,len_pregunta,len_oracion,num_oraciones_contexto,prediccion
¿Cómo se encuentran actualmente los pueblos de Pociague y Hontalbilla?,"La localidad de Bahabón se encuentra a 2 km hacia el oeste de Minguela, y Campaspero hacia el este, a cinco kilómetros.","¿Cómo se encuentran actualmente los pueblos de Pociague y Hontalbilla? [SEP] La localidad de Bahabón se encuentra a 2 km hacia el oeste de Minguela, y Campaspero hacia el este, a cinco kilómetros.",0,10,22,5,1
¿Cómo reaccionaron las bolsas internaciones ante esta decisión?,Los mercados asiáticos cerraron con importantes alzas por segundo día consecutivo.,¿Cómo reaccionaron las bolsas internaciones ante esta decisión? [SEP] Los mercados asiáticos cerraron con importantes alzas por segundo día consecutivo.,1,8,11,12,0
¿Por cuánto ha sido reducida la fianza de Jesús Gil?,El juez Manuel García Castellón ordenó el pasado 22 de diciembre la destitución del consejo de administración del Atlético de Madrid y nombró a un administrador judicial.,¿Por cuánto ha sido reducida la fianza de Jesús Gil? [SEP] El juez Manuel García Castellón ordenó el pasado 22 de diciembre la destitución del consejo de administración del Atlético de Madrid y nombró a un administrador judicial.,0,10,27,8,1
¿Cuántos funcionarios venezolanos fueron castigados por el gobierno de EEUU?,Mnuchin insistió en que no se puede aceptar “el desprecio de este régimen por la voluntad del pueblo” y ofreció el respaldo del gobierno estadounidense para luchar contra la “tiranía” hasta lograr que se restaure en Venezuela una “democracia pacífica y próspera”.,¿Cuántos funcionarios venezolanos fueron castigados por el gobierno de EEUU? [SEP] Mnuchin insistió en que no se puede aceptar “el desprecio de este régimen por la voluntad del pueblo” y ofreció el respaldo del gobierno estadounidense para luchar contra la “tiranía” hasta lograr que se restaure en Venezuela una “democracia pacífica y próspera”.,0,10,42,17,1
¿Qué partes realiza el chelo dentro de los instrumentos de cuerda?,"El violonchelo o violoncello (abreviado a menudo con  el término de chelo) es un instrumento musical de cuerda frotada, perteneciente a la familia del violín.","¿Qué partes realiza el chelo dentro de los instrumentos de cuerda? [SEP] El violonchelo o violoncello (abreviado a menudo con  el término de chelo) es un instrumento musical de cuerda frotada, perteneciente a la familia del violín.",0,11,25,5,1
¿Con qué intención se han estudiado los dialectos del castellano que se hablan en América?,"De acuerdo con Moreno Fernández, algunos de los rasgos de los dialectos mexicanos del español son compartidos con América Central, particularmente las variedades que se hablan en el sureste de México.","¿Con qué intención se han estudiado los dialectos del castellano que se hablan en América? [SEP] De acuerdo con Moreno Fernández, algunos de los rasgos de los dialectos mexicanos del español son compartidos con América Central, particularmente las variedades que se hablan en el sureste de México.",0,15,31,7,1
¿Cómo se apoda Diego Fernando Murillo?,"Murillo asistirá este miércoles a la desmovilización de 425 paramilitares del frente Héroes de Tolová, acto que se realizará en la vereda La Rusia Ocho, del municipio de Valencia, Córdoba.","¿Cómo se apoda Diego Fernando Murillo? [SEP] Murillo asistirá este miércoles a la desmovilización de 425 paramilitares del frente Héroes de Tolová, acto que se realizará en la vereda La Rusia Ocho, del municipio de Valencia, Córdoba.",0,6,30,20,1
¿Cuál es el único idioma indígena mexicano con más de un millón de hablantes?,"Lenguas autóctonas de México 
México es el país con mayor cantidad de personas hablantes de lenguas amerindias en América, con un total de 65 lenguas vivas registradas en el año 2010.","¿Cuál es el único idioma indígena mexicano con más de un millón de hablantes? [SEP] Lenguas autóctonas de México 
México es el país con mayor cantidad de personas hablantes de lenguas amerindias en América, con un total de 65 lenguas vivas registradas en el año 2010.",0,14,31,4,1
¿Cuándo planeaba la alcaldía remodelar en antiguo hotel?,"1 de septiembre de 2005 Son varios los incendios ocurridos este verano en París, principalmente en edificios abandonados que han sido ocupados por inmigrantes provenientes de África.","¿Cuándo planeaba la alcaldía remodelar en antiguo hotel? [SEP] 1 de septiembre de 2005 Son varios los incendios ocurridos este verano en París, principalmente en edificios abandonados que han sido ocupados por inmigrantes provenientes de África.",0,8,27,18,1
¿En cuánto quieren bajar los costes de los Juegos Olímpicos de Tokio 2020 los planificadores?,"Así, la construcción de un nuevo estadio de baloncesto podría desecharse, por lo que la competencia se trasladaría a una instalación ubicada 25 kilómetros al norte de la ciudad, al igual que el bádminton.","¿En cuánto quieren bajar los costes de los Juegos Olímpicos de Tokio 2020 los planificadores? [SEP] Así, la construcción de un nuevo estadio de baloncesto podría desecharse, por lo que la competencia se trasladaría a una instalación ubicada 25 kilómetros al norte de la ciudad, al igual que el bádminton.",0,15,34,18,1
¿Cuándo empezaron a fallar los controladores de la avioneta?,"De acuerdo al Comando Norte de Defensa Aeroespacial de Estados Unidos (NORAD), ""la avioneta fue seguida por aviones caza"" antes de entrar en espacio aéreo de Cuba.","¿Cuándo empezaron a fallar los controladores de la avioneta? [SEP] De acuerdo al Comando Norte de Defensa Aeroespacial de Estados Unidos (NORAD), ""la avioneta fue seguida por aviones caza"" antes de entrar en espacio aéreo de Cuba.",0,9,27,14,1
¿Cuándo se fue del DS?,"Kostunica fue diputado en el Parlamento serbio en dos legislaturas, de 1990 a 1997, año en que su partido boicoteó las elecciones parlamentarias.","¿Cuándo se fue del DS? [SEP] Kostunica fue diputado en el Parlamento serbio en dos legislaturas, de 1990 a 1997, año en que su partido boicoteó las elecciones parlamentarias.",0,5,23,11,1
¿Quiénes inventaron la marca Daimler?,"Por la misma época circulaba por las calles de Mannheim, también en Alemania, un coche mecánico de tres ruedas diseñado por Karl Friedrich Benz (1844- 1929) en el que- el chasis y el motor habían sido concebidos como un todo orgánico-; es decir, un verdadero automóvil.","¿Quiénes inventaron la marca Daimler? [SEP] Por la misma época circulaba por las calles de Mannheim, también en Alemania, un coche mecánico de tres ruedas diseñado por Karl Friedrich Benz (1844- 1929) en el que- el chasis y el motor habían sido concebidos como un todo orgánico-; es decir, un verdadero automóvil.",0,5,46,7,1
¿Cuándo se aprobó la Constitución de Chile?,"Los senadores designados se rebelaron contra las reformas políticas del presidente, Ricardo Lagos, y anunciaron que votarán en contra de que se cambie la Constitución chilena para, entre otras cosas, suprimir los cargos institucionales que actualmente ocupan.","¿Cuándo se aprobó la Constitución de Chile? [SEP] Los senadores designados se rebelaron contra las reformas políticas del presidente, Ricardo Lagos, y anunciaron que votarán en contra de que se cambie la Constitución chilena para, entre otras cosas, suprimir los cargos institucionales que actualmente ocupan.",0,7,37,7,1
¿Qué han vuelto a hacer Rusia y China el 4 de febrero de 2012?,"— Embajador de Portugal El embajador del Reino Unido informó que ""Londres está angustiada contra el voto de una resolución que condena la represión del régimen sirio"".","¿Qué han vuelto a hacer Rusia y China el 4 de febrero de 2012? [SEP] — Embajador de Portugal El embajador del Reino Unido informó que ""Londres está angustiada contra el voto de una resolución que condena la represión del régimen sirio"".",0,14,27,18,1
¿Dónde se reunieron los funcionarios brasileños y colombianos?,"""Nuestra acción conjunta será definitiva para el ordenamiento del mercado de un producto del que dependen millones de personas.","¿Dónde se reunieron los funcionarios brasileños y colombianos? [SEP] ""Nuestra acción conjunta será definitiva para el ordenamiento del mercado de un producto del que dependen millones de personas.",0,8,19,7,1
¿Quién anunció los datos del mercado laboral?,"Los mercados de Nueva York cerraron la sesión de hoy, viernes, con tendencias opuestas en sus dos principales índices: el Dow Jones, que acabó a la baja y el Nasdaq, que anotó un nuevo máximo histórico.","¿Quién anunció los datos del mercado laboral? [SEP] Los mercados de Nueva York cerraron la sesión de hoy, viernes, con tendencias opuestas en sus dos principales índices: el Dow Jones, que acabó a la baja y el Nasdaq, que anotó un nuevo máximo histórico.",0,7,36,10,1
¿De qué sufre seriamente el país colombiano?,"Bell afirmó que la democracia de Colombia ""es hoy una democracia amenazada"", por lo que aseguró que la lucha contra la violencia y el narcotráfico es la prioridad de las autoridades, que se esfuerzan en hacer mejoras legislativas y políticas encaminadas a la consecución de la paz.","¿De qué sufre seriamente el país colombiano? [SEP] Bell afirmó que la democracia de Colombia ""es hoy una democracia amenazada"", por lo que aseguró que la lucha contra la violencia y el narcotráfico es la prioridad de las autoridades, que se esfuerzan en hacer mejoras legislativas y políticas encaminadas a la consecución de la paz.",1,7,47,7,0
¿Quién administra la Zona Arqueológica de Monte Albán?,"La mayor parte de los edificios que pueden ser visitados, fueron restaurados durante la serie de excavaciones realizadas por Alfonso Caso y sus compañeros, entre 1931 y 1948.","¿Quién administra la Zona Arqueológica de Monte Albán? [SEP] La mayor parte de los edificios que pueden ser visitados, fueron restaurados durante la serie de excavaciones realizadas por Alfonso Caso y sus compañeros, entre 1931 y 1948.",0,8,28,5,1
¿Cuándo descubrió la reina Victoria que su hijo estaba casado y tenía una hija?,"Aseguraba que el príncipe conoció a una de las modelos del pintor, Annie Elizabeth Crook, una modesta empleada católica, en el estudio del número 15 de Cleveland Street.","¿Cuándo descubrió la reina Victoria que su hijo estaba casado y tenía una hija? [SEP] Aseguraba que el príncipe conoció a una de las modelos del pintor, Annie Elizabeth Crook, una modesta empleada católica, en el estudio del número 15 de Cleveland Street.",0,14,28,8,1
¿Cuántas personas fueron asesinadas en Foz do Igualçu en 2016?,Para llegar a esa tasa se divide el número de asesinatos ocurridos en el municipio en un determinado período de tiempo por el número de habitantes.,¿Cuántas personas fueron asesinadas en Foz do Igualçu en 2016? [SEP] Para llegar a esa tasa se divide el número de asesinatos ocurridos en el municipio en un determinado período de tiempo por el número de habitantes.,0,10,26,26,1
¿Qué refleja el Dow Jones Industriales?,"Los mercados de Nueva York cerraron la sesión de hoy, viernes, con tendencias opuestas en sus dos principales índices: el Dow Jones, que acabó a la baja y el Nasdaq, que anotó un nuevo máximo histórico.","¿Qué refleja el Dow Jones Industriales? [SEP] Los mercados de Nueva York cerraron la sesión de hoy, viernes, con tendencias opuestas en sus dos principales índices: el Dow Jones, que acabó a la baja y el Nasdaq, que anotó un nuevo máximo histórico.",0,6,36,10,1
¿Cómo se denomina a la prole de Bowser?,"Esta vez, Bowser ha enviado a sus siete hijos, conocidos como Koopalings (コクッパ, Ko Kuppa?, lit.","¿Cómo se denomina a la prole de Bowser? [SEP] Esta vez, Bowser ha enviado a sus siete hijos, conocidos como Koopalings (コクッパ, Ko Kuppa?, lit.",1,8,16,5,0
¿Qué tipo de composición es La caza de Diana?,"Su argumento puede resumirse como sigue: Mientras el poeta se encuentra absorto en sus penas amorosas, un espíritu gentil enviado por la diosa Diana convoca a las más bellas damas napolitanas (de las que se citan sus nombres, apellidos y hasta hipocorísticos) a la corte «dell'alta idea».","¿Qué tipo de composición es La caza de Diana? [SEP] Su argumento puede resumirse como sigue: Mientras el poeta se encuentra absorto en sus penas amorosas, un espíritu gentil enviado por la diosa Diana convoca a las más bellas damas napolitanas (de las que se citan sus nombres, apellidos y hasta hipocorísticos) a la corte «dell'alta idea».",0,9,47,10,1
¿Cuándo consiguió Carlos Guillén su primer slam?,"Guillén, que se fue de 5-2, con dos ""outs"" en la pizarra, se colocó en la caja de bateo contra el abridor Denny Neagle, que había llenado las bases en la sexta entrada con Jay Buhner, David Bell y Rickey Henderson, y le soltó un bambinazo, su segundo de la campaña, por el jardín derecho para sentenciar un partido que hasta entonces sólo ganaban los Marineros por un parcial de 3-2.","¿Cuándo consiguió Carlos Guillén su primer slam? [SEP] Guillén, que se fue de 5-2, con dos ""outs"" en la pizarra, se colocó en la caja de bateo contra el abridor Denny Neagle, que había llenado las bases en la sexta entrada con Jay Buhner, David Bell y Rickey Henderson, y le soltó un bambinazo, su segundo de la campaña, por el jardín derecho para sentenciar un partido que hasta entonces sólo ganaban los Marineros por un parcial de 3-2.",0,7,71,5,1
¿Cuántas víctimas se ha cobrado esta súbita actividad volcánica?,"Un portavoz de la Agencia Meteorológica del Japón (JMA por sus siglas en inglés), declaró que no se esperaba actividad eruptiva en el volcán Ontake, a pesar de que meses atrás el coloso registró una serie de sismos de origen volcánico.","¿Cuántas víctimas se ha cobrado esta súbita actividad volcánica? [SEP] Un portavoz de la Agencia Meteorológica del Japón (JMA por sus siglas en inglés), declaró que no se esperaba actividad eruptiva en el volcán Ontake, a pesar de que meses atrás el coloso registró una serie de sismos de origen volcánico.",0,9,41,8,1
¿Cuál es el elemento más esencial?,Y el más importante es la ingeniería genética.,¿Cuál es el elemento más esencial? [SEP] Y el más importante es la ingeniería genética.,1,6,8,6,0
